questionId,text,score
23,"j'aurai moins de résistance à la fatigue, je n'hésite pas à écourter mon vol pour garder un peu de fraîcheur pour l'atterrissage",3
24,du renoncement,2
24,des facteurs non techniques,2
24,des facteurs techniques,2
25,"son comportement en vol, la forme de ses ailes et de sa queue, son envergure",6
25,la taille de son bec et de ses serres,-6
25,sa couleur et son cri,-6
26,a des qualités d'amortissement des turbulences intéressantes pour l'apprentissage,3
26,"tolère, à l'écart du relief, des imprécisions de pilotage dans des conditions aérologiques modérées",3
26,permet au pilote de voler en conditions fortes,-6
27,est située au vent du relief,-6
27,a la pente à sa gauche,-6
27,a la pente à sa droite,6
27,est située sous le vent du relief,-6
28,le refroidissement du sol,-6
28,l'arrivée d'air chaud en altitude,-6
28,le réchauffement du sol,6
29,inférieur au poids total aile + pilote,-6
29,supérieur au poids total aile+pilote,6
29,égal au poids total aile + pilote,-6
30,cumulus,6
30,"nimbostratus, altostratus et cumulonimbus",-6
30,stratus,-6
30,"cirrocumulus, nimbostratus et stratocumulus",-6
31,à plus de 900 m au-dessus du niveau de la mer,-6
31,à plus de 300 m au-dessus de tout relief,-6
31,nulle part,6
32,le signe d'une dégradation prochaine du temps,2
32,caractéristique du beau temps qui va durer,-6
32,le signe de la présence d'altocumulus,-6
32,le signe de la présence de cirrostratus,4
33,il ne peut pas y avoir d'ascendances thermiques,-6
33,la température décroît doucement quand on s'élève en altitude,3
33,la structure de la masse d'air s'oppose au développement des ascendances,3
33,la température décroît rapidement quand on s'élève en altitude,-6
34,vous en profitez pour gagner de l'altitude,-6
34,vous dégagez du côté le plus clair pour échapper à l'influence du nuage,4
34,vous augmentez la vitesse jusqu'à amener le variomètre à 0,-6
34,"vous pouvez utiliser l'ascendance sur les bords du nuage, en gardant toujours une direction totalement dégagée à toute altitude",2
35,plus élevée par vent arrière,6
35,plus élevée par vent de face,-6
35,ne change jamais,-6
36,"même si les conditions sont moyennes, je trouverais bien un créneau pour voler",-3
36,"j'ai posé une journée de congé, je vais sur site, ça devrait le faire",-3
36,"conscient du biais cognitif des dépenses irrécupérables, je vais sur site avec un plan « B »",3
36,"je prévois toujours un plan « B », je fais autre chose",3
37,à la vitesse du taux de chute mini,-6
37,à une vitesse supérieure à celle du taux de chute mini,-3
37,à une vitesse inférieure à celle du taux de chute mini,6
38,en vol face à son vent relatif,3
38,en vol face au vent météo,-6
38,au sol face au vent moyen,-6
38,"au sol, à l'arrêt, face au vent instantané",3
39,cela peut indiquer que je suis trop proche de sa zone de reproduction : je m'éloigne,2
39,"c'est une forme de jeu, je peux m'approcher",-6
39,il s'agit d'un vol dit « en festons »,2
39,il s'agit d'un vol dit « en vagues »,-6
39,cela peut indiquer qu'il est en parade nuptiale : je m'éloigne,2
40,étudier à fond le sujet du parachute pour se permettre un engagement plus important sous son aile,-6
40,"étudier toutes les probématiques autour de l'extraction, du lancer, de la descente sous parachute et du contact avec le sol",2
40,pouvoir contrôler la possibilité d'un « effet miroir »,2
40,avoir préalablement correctement réglé sa sellette en cas d'accroche aux épaules,2
41,"La carte au 1/250 000, si le secteur où j'évolue est couvert",6
41,La carte au 1/500 000 suffit amplement pour voler uniquement jusqu'au FL 115,-6
41,"La carte au 1/1 000 000, car elle couvre tout l'espace aérien",-6
42,peuvent se présenter sous forme de bulles ou de colonnes,2
42,se déclenchent souvent sur des sols contrastés,2
42,montent toujours verticalement,-6
42,sont en général entourées de descendances,2
43,sont mises en place pour protéger la zone de reproduction des rapaces,6
43,sont mises en place pour protéger la tranquillité des riverains,-6
44,peut envisager de faire l'essai d'une voile classée en « D »,-6
44,choisit sa voile selon les conditions aérologiques,-6
44,peut envisager de faire l'essai un prototype en air calme,-6
44,ne devrait voler qu'avec des voiles classées en « A » ou « B »,6
45,décroît plus lentement que si la particule contenait de l'air clair,6
45,décroît plus vite que si la particule contenait de l'air clair,-6
45,croît plus vite que si la particule contenait de l'air clair,-6
46,vous ne pourrez plus piloter avec vos freins,3
46,c'est fortement déconseillé,-6
46,votre aile sera moins sensible en tangage,3
47,sont acquis par le pilote à un moment donné et ne peuvent évoluer,-6
47,évoluent tout au long de la formation du pilote,4
47,s'acquièrent par approfondissements pratiques et théoriques,2
48,augmenter l'incidence,3
48,diminuer l'incidence,-6
48,brider l'aile ou la demi-aile concernée,3
48,débrider l'aile ou la demi-aile concernée,-6
49,concave,-6
49,tel que vous pourrez vous éloigner assez vite du relief,2
49,convexe,2
49,tel que vous pourrez facilement vous arrêter en cas de problèmes au gonflage,2
50,peut être modifié par le réglage de la longueur des freins,-6
50,est déterminé par la longueur de chaque suspente,2
50,peut être fortement modifié par le vieillissement du suspentage,2
50,est modifié par une action sur les trims ou l'accélérateur,2
51,décolle à une plus grande vitesse,-6
51,a un taux de chute moins important,3
51,a une finesse plus élevée,-3
51,est moins manœuvrable,3
52,vous impose un atterrissage immédiat,3
52,peut rendre de toute façon l'atterrissage problématique,3
52,vous invite à profiter des ascendances larges avant la pluie,-6
53,Consommer des stimulants,-6
53,Prendre des pauses régulières,6
53,Ignorer la fatigue,-6
53,Voler plus rapidement,-6
54,traînée de forme ou de pression,2
54,traînée de frottement ou de profil,2
54,traînée induite,2
55,une zone cœur à statut de protection fort,2
55,une seule zone avec le même statut sur toute la surface du parc,-6
55,une aire d'adhésion,2
55,une ou des réserves intégrales,2
56,Il est uniquement possible de pénétrer en week-end et jours fériés : interdit en semaine,-6
56,Il suffit de téléphoner au numéro mentionné pour savoir si l'on peut la traverser,-6
56,Il est interdit de pénétrer le volume des ZIT mentionnées sur les cartes aéronautiques,6
57,est dangereux pour nos ailes,-6
57,ne se forme que dans une couche d'air à tendance stable,-6
57,n'est pas coiffé par un cumulus,6
57,permet un gain minimum de 1000 m,-6
58,vous volez le plus vite possible,-6
58,"vous prenez de la marge/relief, volez plus lentement et augmentez votre niveau de présence au pilotage",4
58,vous évitez de descendre en dessous des crêtes,2
59,des turbulences dangereuses,3
59,un assèchement de la masse d'air sous le vent des reliefs,3
59,des nuages dérivant avec le vent,-6
60,nécessite une autorisation d'utilisation,-6
60,est obligatoire en sortie club,-6
60,est vivement conseillé quelle que soit la forme de pratique et demande une formation pour son utilisation,3
60,est obligatoire en compétition FFVL,3
61,La concentration sur la technique,-6
61,L'optimisme excessif,6
61,Le pessimisme,0
61,L'analyse météorologique rigoureuse,-6
62,elle sera plus maniable,-6
62,le taux de chute sera légèrement plus favorable,2
62,elle sera plus sensible à la fermeture dans les turbulences,2
62,les actions aux commandes seront moins efficaces,2
63,"le Ns donne des averses violentes, le Cb de la pluie continue",-6
63,le Ns est accompagné d'un orage et le Cb d'un halo,-6
63,"le Ns donne de la pluie continue et le Cb des pluies orageuses, des éclairs et des vents forts tourbillonnants",6
64,j'observe l'assombrissement du ciel et attends des signes de renforcement du vent pour décider d'aller me poser,-6
64,je vais me poser sans attendre si le ciel se couvre rapidement,2
64,je vole en ayant conscience de la fulgurance des phénomènes orageux,2
64,je réagis rapidement et vais me poser si les ascendances commencent à s'élargir,2
65,dure maximum 3 mois,-6
65,peut durer plus de 6 mois,2
65,varie selon les espèces,2
65,se situe plutôt autour du printemps,2
65,se situe plutôt à la fin de l'été,-6
66,la traînée de frottement,2
66,la traînée de forme,2
66,la traînée induite,2
67,vous devez voler le plus lentement possible pour ne pas fatiguer la structure,-6
67,les efforts sur la structure augmentent avec la vitesse de vol,6
67,vous prenez le plus de vitesse possible pour rapidement sortir de la zone,-6
68,une couche d'air chaud qui est au-dessus d'une couche d'air froid,6
68,une couche d'air qui bloque le développement des ascendances,0
68,une couche d'air froid qui est au-dessus d'une couche d'air chaud,-6
69,le responsable régional de la formation (RRF),6
69,le directeur technique de l'école (DTE),-6
69,le président du club où vous êtes affilié,-6
70,savoir le reconditionner dans sa sellette,2
70,se préparer en permanence à son utilisation,2
70,savoir le replier,-6
70,"envisager de l'aérer, le replier et le reconditionner au moins 1 fois par an",2
71,obtenue à une vitesse supérieure à celle du taux de chute mini,6
71,obtenue à une incidence dépendant du vent météo,-6
71,une valeur qui dépend de la charge alaire,-6
72,plus vite,3
72,plus longtemps,3
72,moins longtemps,-6
72,moins vite,-6
73,traînée de forme ou de pression,2
73,traînée de sillage,-6
73,traînée de frottement ou de profil,2
73,traînée induite,2
74,d'air froid s'étendant à l'arrière du front froid,6
74,d'air chaud compris entre le front chaud et le front froid,-6
74,nuageuse très développée arrivant avec le front froid,-6
75,par couches minces stratiformes,-6
75,isolés de type cumuliformes,-6
75,développés sur une grande épaisseur et des 2 types,6
76,adaptant une respiration en cohérence cardiaque,3
76,verbalisant la suite du pilotage à haute voix,2
76,m'hydratant légèrement,1
76,lâchant les commandes afin de détendre les bras/épaules,-6
77,1000 m,-6
77,50 m,-6
77,300 m,6
77,100 m,-6
78,"Le nom, le type, les horaires, le volume et le numéro de téléphone liés à cet espace",-6
78,"Le type, le nom, le plancher et le plafond, ainsi que la fréquence d'appel pour cet espace",6
78,Le nom et le type d'espace ainsi que les hauteurs sol du volume correspondant,-6
79,certifie que tout parapente homologué est utilisable sans risque par n'importe quel pilote (y compris les débutants),-6
79,oblige le constructeur à conserver les caractéristiques techniques sur tous les exemplaires produits,3
79,est valable quel que soit le harnais monté sur l'aile,-6
79,permet de se faire une idée du comportement de ce modèle,3
80,je vérifie où aboutissent sur mon aile la sélection des suspentes que je dois tirer,3
80,je regarde ma voile pour vérifier le bon déroulement de l'opération,3
80,je n'oublie pas de préalablement me séparer des freins,-6
81,est indépendante de la forme de l'aile,-6
81,est indépendante de la vitesse-air,-6
81,se divise en traînée de forme + traînée induite + traînée de frottement,6
82,je décolle dans l'idée de faire un triangle > 100 km,-6
82,je décolle pour un cross mais suis très attentif à mon état de fatigue,0
82,je propose aux copains de leur faire la navette,3
82,je me contente d'un vol découverte du site,3
83,demande un dosage ajusté pour que le pilote garde son équilibre au moment du contact/sol,3
83,demande de freiner amplement pour obtenir rapidement le décrochage de l'aile,-6
83,peut s'enchainer avec un relevage des commandes et en reculant vers l'aile,3
83,s'enchaine en résistant autant que possible pour affaler l'aile aux freins,-6
84,ne donne pas d'informations utiles pour le vol libre,-6
84,indique la présence d'ascendances thermiques,-6
84,présage de conditions peu favorables à la prise d'altitude en vol libre,6
85,Le FL 115 soit environ 3500 m,3
85,"Le FL 195, dans certaines LTA E Alpes ou Pyrénées",3
85,Le FL 100 ou 1000 ft surface en haute montagne,-6
86,il vous doit la priorité,-6
86,"en approche, il n'y a plus de priorité",-6
86,vous l'observez attentivement car vous lui devez la priorité,6
86,vous faites des 360° pour vous poser avant lui,-6
87,indirectement par l'intermédiaire du sol,6
87,directement par convection,-6
87,directement par rayonnement,-6
88,le réchauffement de l'air ascendant,-6
88,le refroidissement de l'air jusqu'à son niveau de condensation,6
88,une forte descendance,-6
89,faire les oreilles,-6
89,suspentes fines ou montants de trapèze profilés,2
89,harnais profilé,2
89,profil optimisé par un bel état de surface,2
90,nécessite de vérifier le bon verrouillage de son container/sellette lors de la visite prévol,2
90,"son aération, son repliage et son reconditionnement sont à faire au moins une fois tous les 2 ans",-6
90,nécessite de vérifier la bonne position de la poignée d'extraction lors de la visite prévol,2
90,est un sujet qui exige une étude et une préparation pour en optimiser son fonctionnement,2
91,décoller sans être en possession d'une assurance spécifique vol libre,2
91,rester en vol au-delà de 30 min après le coucher du soleil,2
91,décoller 30 min après le coucher du soleil,2
92,tirer sur le frein droit,-6
92,relever le frein gauche,3
92,appliquer mon poids sur les élévateurs de droite,3
93,Renforcement des bonnes pratiques de sécurité,2
93,Augmentation de l'anxiété du pilote,-6
93,Identification des erreurs et des améliorations potentielles,2
93,Partage des expériences avec d'autres pilotes,2
94,ne varie pratiquement pas,-6
94,augmente progressivement jusqu'au décrochage,-6
94,"augmente, passe par un maximum, diminue puis s'effondre brusquement (décrochage)",6
95,la surface de l'intrados posé à plat,3
95,la projection de la voile gonflée sur un plan,3
95,l'envergure multiplié par l'épaisseur du profil,-6
96,descend par rapport à l'air ascendant,6
96,monte par rapport à l'air ascendant,-6
96,monte à la même vitesse que l'air ascendant,-6
97,reste constante,-6
97,augmente de 1° par 100 m,-6
97,diminue de 1° par 100 m,6
98,température,-6
98,pression,6
98,humidité,-6
99,ont pour objectif de protéger la faune et/ou la flore d'un site,3
99,peuvent concerner le vol libre,3
99,ne concernent jamais le vol libre,-6
100,s'accroît avec l'augmentation de la vitesse,2
100,augmente lorsque je tire sur les freins,2
100,dépend de la vitesse relative de chacune de mes demi-ailes,2
100,faiblit avec l'augmentation de la vitesse,-6
101,dans une confluence,2
101,en traversant une couche d'inversion,2
101,en entrée et sortie de thermique,2
102,pour guider les pilotes qu'il accompagne tout le long du vol,-6
102,uniquement pour les guider au décollage,-3
102,uniquement pour les guider à l'atterrissage,-3
102,"comme n'importe quel pilote, sans plus",6
103,il est recommandé d'avoir l'accélérateur au pied en cas de phase parachutale,3
103,je n'ai plus d'autre choix que de piloter les grandes lignes de ma trajectoire à la sellette,3
103,mon nouveau taux de chute me permet de facilement redescendre dans toutes les situations aérologiques,-6
104,"je force le passage, ça m'étonnerait que ça ne passe pas",-6
104,je choisis un terrain de secours adapté déjà reconnu en stage,6
104,je vois une toute petite clairière accidentée plus loin pour aller me poser,-6
104,je fais demi-tour pour essayer de me reposer quoi qu'il arrive au décollage,-6
105,portance sur traînée,3
105,traînée sur portance,-6
105,vitesse-air horizontale sur vitesse-air verticale,3
105,distance parcourue horizontalement sur distance parcourue verticalement,-6
106,s'exprime en degrés,-6
106,s'exprime en pourcentage,2
106,est équilibré lorsque le centre de poussée et le centre de gravité sont alignés verticalement sur corde,4
107,en débridant totalement l'aile quitte à produire une abattée et augmenter le taux de chute,6
107,faisant les oreilles pour fuir au plus vite le secteur,-6
107,tirant sur les freins pour réduire le taux de chute qui est en passe d'augmenter,-6
108,se développent verticalement,-6
108,caractérisent des couches plutôt stables,3
108,caractérisent des couches plutôt instables,-6
108,se développent horizontalement,3
109,"n'est pas en soi puni par la loi, mais peut constituer une infraction dans le cas du dérangement d'une espèce protégée",6
109,n'est jamais puni par la loi,-6
110,donne une indication variant avec les données atmosphériques,2
110,est calé définitivement à la construction,-6
110,"doit toujours être comparé et réglé par rapport aux valeurs connues (décollage, points reconnus, atterrissage)",2
110,"peut être calé à différentes valeurs (niveau de la mer, du décollage, de l'atterrissage, etc.)",2
111,classe les parapentes en 4 niveaux d'accès dont le plus accessible est noté D,-6
111,sépare les parapentes en 4 niveaux de comportements en vol,2
111,"applique des tests de résistance à 8G, au sol, derrière un véhicule",2
111,"attribue les lettres A, B, C ou D à 28 manœuvres réalisées en vol par des pilotes test",2
112,La diminution de la prise de décision,3
112,L'augmentation de la réactivité,-3
112,La réduction de la vigilance,3
112,L'amélioration de la concentration,-3
113,je peux toujours décoller,-6
113,je peux parfois décoller à certains endroits dans le cadre de dérogations,6
113,je ne peux jamais décoller,-6
114,est soulevé,6
114,soulève l'air froid,-6
114,peut être refoulé vers le bas ou soulevé selon la situation,-6
115,vous faites des 360° devant la pente,-6
115,vous faites des 8 longs en tournant face à la pente,-6
115,vous faites des 8 longs en tournant face au vent,6
115,vous volez à la vitesse minimum de l'aile,-6
116,d'incidence,2
116,de masse,-6
116,de Force Aérodynamique,2
116,de vitesse-air,2
117,Des NOTAM d'information pour renforcer la vigilance des pilotes,-6
117,Les aéronefs non motorisés doivent simplement ne pas survoler les lieux de déroulement,-6
117,Des restrictions d'horaires et de volumes de vol matérialisés par des ZRT et/ou des ZIT,6
118,tangage,-6
118,lacet,6
118,roulis,-6
119,nimbostratus,3
119,cumulonimbus,3
119,cumulus,-6
120,ne jamais faire d'évolutions serrées,3
120,s'éloigner des limites du domaine de vol,3
120,voler au taux de chute mini,-6
121,avoir assimilé les performances en plané de son aile et les notions de finesse/air et finesse/sol,3
121,pouvoir le rejoindre à tout moment quelles que soient les conditions aérologiques rencontrées,3
121,c'est pouvoir garantir d'y revenir après m'en être éloigné à une distance de 20 de finesse,-6
122,au sommet d'une crête entre 2 vallées alimentées chacune par une brise,2
122,le long d'un front de brise de mer,2
122,entre une brise et un vent météo,2
123,L'excitation du moment,2
123,La confiance en soi,2
123,L'état de fatigue,2
124,de perdre de l'altitude en accélérant,0
124,d'augmenter le trajet à parcourir en déviant votre trajectoire,3
124,de perdre de l'altitude en parachutant légèrement,-6
124,d'augmenter la traînée en vous relevant,3
125,une visibilité de 3000 m et maintenir un espacement par rapport aux nuages de 600 m,-6
125,une visibilité d'au moins 1500 m et voler hors des nuages,6
125,une visibilité d'au moins 8 km et un espacement par rapport aux nuages de 300 m verticalement et 1500 m horizontalement,-6
126,peuvent auto brider le bord de fuite lors de l'utilisation de l'accélérateur,2
126,peuvent empêcher la montée de la voile,2
126,créent un risque supplémentaire de phase parachutale,2
126,n'ont rien à voir avec les cascades d'incidents,-6
127,plutôt sélectivement instable,-6
127,plutôt instable,-6
127,plutôt stable,6
128,l'incidence augmente,2
128,traverser un gradient ou une turbulence peut accroître considérablement votre taux de chute,2
128,il n'existe aucun risque de parachutage,-6
128,votre finesse diminue,2
129,implique généralement des hauteurs minimums de survol du coeur du parc et des réserves,3
129,est interdite,-6
129,fait l'objet de réglementations et de recommandations qui varient d'un parc à l'autre,3
130,est d'environ 45 km/h,6
130,est d'environ 25 km/h,-6
130,reste inchangée,-6
131,voler trop lentement en freinant votre aile,3
131,vous rapprocher dangereusement de la vitesse minimum et des risques associés,3
131,voler trop rapidement en accélérant votre aile,-6
132,vous êtes prioritaire sur une aile située en dessous et qui vous rejoint,-6
132,aucune autre aile n'a le droit d'utiliser cette ascendance,-6
132,une aile qui entre dans l'ascendance au même niveau que vous doit spiraler à 180° et dans le même sens,3
132,les ailes qui arrivent après vous doivent adopter votre sens de rotation,3
133,une force de résistance à la pénétration dans l'air,3
133,proportionnelle au cube de la vitesse-air,-6
133,proportionnelle au carré de la vitesse-air,3
133,indépendante de la vitesse-air,-6
134,"L'environnement, les communautés",2
134,La gestion du vol,2
134,La prise de décisions,2
134,Le SIV,-6
135,les stratus ont tendance à se développer,-6
135,les cumulus ont tendance à se développer,3
135,la température décroît rapidement quand on s'élève en altitude,3
135,il y a peu d'ascendances,-6
136,est dégradée,6
136,est améliorée,-6
136,reste la même,-6
137,inférieure ou égale à la finesse max. de l'aile,-6
137,n'a pas à être comparée à la pente de finesse max. de l'aile,-6
137,supérieure à la pente de finesse max de l'aile,6
138,mesure la vitesse ascensionnelle de la masse d'air dans un thermique,-6
138,utilise ses capacités d'analyse des variations instantanées de pression statique,3
138,peut mesurer la vitesse du vent s'il est utilisé au sol,-6
138,extrapole et traduit des variations de pression en « mètre par seconde » (m/s),3
139,l'air est très humide et le système nuageux important,3
139,les pluies sont continues,3
139,les pluies sont intermittentes et violentes,-6
140,uniquement pendant la période d'accouplement,-6
140,s'ils sont susceptibles,-6
140,durant toute la période de reproduction,6
141,sur la vitesse-sol,-6
141,sur la finesse-sol,-6
141,sur la vitesse-air,6
142,le gradient vertical de pression atmosphérique,0
142,la variation du taux d'humidité,-6
142,l'altitude,6
143,"avant le vol, c'est un minimum",6
143,au moment d'atterrir,-6
143,"en vol, en venant à la verticale pour l'observer",-6
144,est visible sous forme de buée blanche,-6
144,est présente au sol certains matins sous forme de rosée,-6
144,est invisible,6
145,permet de bénéficier d'allègements de formation du diplôme d'Etat (DEJEPS),-6
145,est un produit fédéral visant à concurrencer les écoles professionnelles,-6
145,s'adresse à des bénévoles et n'attribue aucune prérogative pour l'enseignement du vol libre,3
145,est un produit fédéral permettant aux clubs de mieux accueillir et aider les nouveaux pilotes,3
146,un nuage orographique sur le relief au vent,2
146,un refroidissement de la masse d'air sous le vent du relief,-6
146,"une descente d'air chaud, sec et très turbulent sous le vent du relief",4
147,vous restez attentifs aux informations que vous procurent vos commandes,2
147,vous pilotez de manière à amortir en priorité les mouvements pendulaires de l'aile,2
147,vous restez bras hauts,-6
147,vous les contrez pour conserver votre cap et veillez à conserver de la vitesse,2
148,d'une commande intérieure dure et largement abaissée,2
148,d'un affaiblissement du bruit du vent relatif dans les oreilles du pilote,2
148,du sentiment que l'aile a du mal à tourner,2
148,d'une augmentation du bruit du vent relatif dans les oreilles du pilote,-6
149,"en vol, régulièrement m'exercer à trouver le contact de sa poignée",2
149,avoir étudié le mode d'affalement du parapente afin d'optimiser les performances du parachute,2
149,faire un lavage par an en machine avant de le replier,-6
149,l'aérer une fois par an au minimum avant de le replier,2
150,en finale je relève le regard pour accepter plus facilement la prise de vitesse,2
150,"pour rester concentré sur le point d'aboutissement, je fixe ce point le plus possible",-6
150,"pour ne pas me faire surprendre, je visualise les obstacles et je verbalise leur présence",2
150,"pour avoir une bonne vision en 3D je déplace mon regard régulièrement, en haut, en bas, sur les côtés, sur le terrain...",2
151,droite dans l'hémisphère nord,6
151,droite dans l'hémisphère sud,-6
151,gauche dans l'hémisphère nord,-6
152,vous équipez votre sellette d'un kit de secours comprenant au minimum une ficelle résistante de 20 m,2
152,vous faites vérifier votre aile par un atelier dès que vous constatez une paresse inhabituelle au gonflage,2
152,vous faites vérifier votre aile par un atelier dès que vous constatez un comportement inhabituel en virage,2
153,l'arrivée prochaine d'une ressource lorsqu'il se sent « tomber vers l'avant »,2
153,l'imminence d'une fermeture du côté où sa commande durcit,-6
153,l'arrivée d'un mouvement de piqué lorsque sa vitesse diminue,2
153,l'arrivée prochaine d'une abattée lorsqu'il se sent « tomber sur le dos »,2
154,cumulonimbus,3
154,strato-cumulus,-6
154,nuages de rotors,3
155,Quand j'ai un doute je préfère renoncer,3
155,Se fier aux pilotes que j'observe en l'air,0
155,Se mettre en l'air pour tâter la masse d'air,-6
155,Demander l'avis d'un moniteur ou d'une personne de confiance,3
156,ne pas taquiner les vitesses trop basses,2
156,ne pas taquiner les vitesses trop élevées,2
156,ne jamais faire d'évolutions serrées,2
157,le niveau que le pilote veut atteindre,-6
157,la catégorie de la voile,2
157,l'avis d'un vendeur spécialisé qui connaît le pilote,3
157,le niveau d'accessibilité défini par la presse spécialisée,1
158,est une entreprise privée financièrement indépendante de la FFVL,2
158,signe annuellement une charte garantissant notamment le respect des règles d'enseignement édictées par la FFVL,2
158,est une entreprise privée qui fait l'objet d'un suivi régulier de la part de la FFVL,2
159,roulis,6
159,lacet,-6
159,tangage,-6
160,poids total (aile+pilote) sur surface de l'aile,6
160,envergure au carré sur surface de l'aile,-6
160,poids du pilote sur surface de l'aile,-6
160,surface de l'aile sur poids total (aile + pilote),-6
161,font l'objet de la norme CEN avant d'être mis sur le marché,2
161,leur performance se juge par taux de chute,2
161,leur dispositif d'extraction et d'ouverture est automatique,-6
161,leur performance se juge par leur stabilité,2
162,"Non, les aéronefs ultralégers non motorisés ne peuvent utiliser un aérodrome contrôlé sans autorisation particulière de l'autorité compétente",6
162,"Oui, mais il faut que je respecte le circuit de l'aérodrome",-6
162,"Oui, il me suffit d'annoncer mon arrivée par radio",-6
163,a un axe plus ou moins penché par le vent,3
163,est une caractéristique de l'aile qui ne dépend pas du vent,-6
163,correspond à l'ensemble des points les plus éloignés que l'aile peut atteindre en vol plané,3
164,l'incidence est trop forte,6
164,la vitesse est trop forte,-6
164,l'incidence est trop faible,-6
165,peut être positionné sous la planche d'assise de la sellette,2
165,peut être positionné en position ventrale,2
165,ne peut pas être connecté aux abords de la connexion du parapente sur la sellette,-6
165,peut être positionné au dos de la sellette,2
166,est le point où la pression statique de l'air est maximale,2
166,sépare les écoulements d'intrados et d'extrados,2
166,est la zone où dépression et surpression s'arrêtent,-6
166,se déplace en fonction de l'incidence,2
167,aggravation lente avec pluie modérée,-6
167,temps brumeux couvert avec bruine,-6
167,"aggravation rapide avec pluie, orages, vents forts, turbulences",6
168,le dernier virage peut se prévoir à 5 m/sol et sur 180°,-6
168,il faut ralentir sa vitesse très tôt,-6
168,il est déconseillé de faire des virages serrés près du sol à cause de l'augmentation du taux de chute,3
168,il faut augmenter la vitesse en finale bien avant le freinage,3
169,La capacité à réparer son équipement,-3
169,Les compétences en pilotage,3
