questionId,Text
116,"En traversant une masse d'air turbulent, l'ensemble aile + pilote est soumis à des variations :"
117,"Quelles contraintes peuvent engendrer les évènements sportifs, culturels ou politiques ?"
118,"L'effet girouette, c'est la conséquence d'une rotation autour de l'axe de :"
119,"Parmi les nuages ci-dessous, certains produisent généralement des précipitations :"
120,"En conditions turbulentes, il vaut mieux :"
121,"Voler en local d'un atterrissage, c'est :"
122,Une confluence se rencontre habituellement :
123,Quels facteurs humains peuvent être influents sur la prise de décision avant le vol ?
124,"Vous êtes en finale, face au terrain d'atterrissage ; vous vous apercevez que vous êtes un peu long et haut, vous risquez de dépasser le terrain ; vous choisissez :"
125,"Dans un espace aérien non contrôlé et au-dessous de 900 m mer ou 300 m sol en montagne, vous devez avoir :"
126,Des commandes réglées trop tendues :
127,"Dans une masse d'air sans nuages, la température est de 15 °C au sol et de 12 °C 500 m au-dessus. Cette tranche d'air est :"
128,Vous faites les « oreilles » :
129,La pratique du vol libre au sein d'un parc national :
130,"Vous volez à une vitesse-air de 35 km/h avec 10 km/h de vent arrière, votre vitesse-sol :"
131,"Lorsque vous volez vent arrière près du sol, l'impression visuelle tend à modifier votre perception de la vitesse/air, ce qui peut vous conduire à :"
132,Vous êtes le premier à enrouler une ascendance :
133,La traînée d'une aile est :
134,"Parmi ces domaines de compétences du pilote, quelles sont celles non techniques ?"
135,Dans une atmosphère à tendance instable :
136,"Vous êtes dans une masse d'air descendante, la finesse-sol :"
137,La pente d'une aire de décollage doit être :
138,Le variomètre de base :
139,Lors du passage d'un front chaud :
140,Les animaux sont particulièrement sensibles au dérangement :
141,Un vent régulier en force et direction n'a aucune influence :
142,Un altimètre permet d'obtenir une information sur :
143,"Pour un pilote peu expérimenté, un terrain d'atterrissage se découvre :"
144,La vapeur d'eau :
145,La qualification d'accompagnateur fédéral :
146,Le vent de fœhn est caractérisé par :
147,En vol si vous ressentez des turbulences :
148,Le départ en vrille en parapente est précédé :
149,Pour rendre efficace l'utilisation du parachute de secours je dois :
150,"En approche, j'utilise mon regard :"
151,La rotation de la Terre dévie les vents vers leur :
152,Pour votre sécurité :
153,"En vol, le pilote peut anticiper :"
154,"Hors problème de visibilité, les nuages dangereux pour le vol libre sont les :"
155,"Face à une situation aérologique compliquée, je ne sais pas si les conditions sont adaptées à mon niveau, j'hésite à décoller, que faire ?"
156,"En régime turbulent, il vaut mieux :"
157,Le choix d'une voile est guidé par :
158,Une École Française de Vol Libre (EFVL) :
159,"Dans un virage, l'aile s'incline principalement grâce à un mouvement de :"
160,"On appelle charge alaire, le rapport :"
161,Un parachute de secours hémisphérique ou « non-rond » :
162,Puis-je prévoir d'atterrir en delta ou parapente sur un aérodrome contrôlé ?
163,Le cône d'autonomie :
164,Le décrochage se produit lorsque :
165,Le container du parachute de secours :
166,Le point d'arrêt d'un profil :
167,Les tendances générales d'un front froid sont :
168,A l'atterrissage :
169,Quelles compétences sont essentielles pour un pilote de parapente ?
170,Le brouillard d'advection se forme :
171,L'allongement d'une aile est égal :
172,En faisant les « oreilles » :
173,"Votre voile neuve vire systématiquement à droite, drisses de freins détendues :"
174,"Dans le cadre fédéral, la présence d'un moniteur est :"
175,Un allongement important est facteur :
176,Un thermique peut :
177,"Au décollage, le vent est de travers 30°, 3 m/s :"
178,La formation d'onde de ressaut est favorisée par :
179,Vous approchez de la base d'un cumulus :
180,Quelles sont les principales causes d'accidents en parapente liées à l'erreur humaine ?
181,"Lorsque je vole bras hauts, à vitesse max non-accélérée, mon incidence :"
182,"Sur une aile en vol rectiligne stabilisé, lorsque le pilote provoque une diminution de l'incidence :"
183,L'anémomètre est un instrument indiquant :
184,Une bulle d'air s'élève si sa température par rapport à l'air ambiant est :
185,"Par rapport au vent mesuré au décollage à 2 m/sol, le vent 20 m au-dessus risque d'être :"
186,Les relations entre accompagnateur fédéral et écoles de vol libre :
187,Un variomètre fait une estimation :
188,"Pour décoller en sécurité, il est préférable de choisir une pente :"
189,"Vous arrivez sur un décollage très fréquenté, il y a beaucoup de spectateurs, la tension monte, par quels moyens pouvez-vous gérer votre stress ?"
190,"En atmosphère humide, les ascendances :"
191,En vol de pente une violente turbulence replie brutalement une demi-aile de votre parapente :
192,On appelle brise de pente descendante (ou vent catabatique) :
193,Où peut-on trouver les horaires d'activation des zones R ?
194,Suite à une turbulence ou à une entrée de thermique mon aile cabre :
195,"Pour une même aile, un fort accroissement de la charge alaire entraîne une augmentation :"
196,Quels éléments peuvent influencer l'état émotionnel d'un pilote de parapente ?
197,"Pour garder mon parachute en bon état, je dois :"
198,Si vous volez par vent arrière fort :
199,Le variomètre de base donne des indications sur la vitesse verticale :
200,Les nuages de type cumulus :
201,Le système de fermeture du container extérieur du parachute :
202,L'emport du parachute de secours se justifie par les risques de :
203,La traînée induite :
204,La finesse-sol est le rapport :
205,La qualification d'accompagnateur fédéral :
206,La restitution est un phénomène :
207,"En situation d'urgence, quels comportements humains sont souvent observés et peuvent aggraver la situation ?"
208,Lorsque 2 masses d'air de températures différentes se rencontrent :
209,Vous volez au taux de chute minimum ; vous allez rentrer dans une ascendance :
210,Vous croisez une autre aile ; votre vitesse de croisement est égale à :
211,Quel aspect de la préparation mentale est crucial avant un vol en parapente ?
212,Indiquez les facteurs favorisant la convection :
213,"Avant de voler sur un site déclaré FFVL que vous ne connaissez pas, vous devez :"
214,Le gonflage face à la voile :
215,"Votre secours est ouvert, vous sentez la traction liée à son déploiement :"
216,Le taux de chute minimum :
217,La pression atmosphérique est due :
218,"Vous volez par fort vent arrière, cela implique :"
219,Le niveau d'accessibilité d'une voile dépend :
220,Le sticker CEN apposé sur un parapente :
221,"Aux « oreilles », vous décidez d'utiliser l'accélérateur, cela :"
222,L'accompagnateur fédéral dans un club de plaine :
223,Juste avant le sommet d'une ressource importante :
224,Les protections dorsales et latérales de votre sellette :
225,Le phénomène de restitution se rencontre en général :
226,Quels facteurs peuvent diminuer la performance d'un pilote de parapente ?
227,Une fois que j'ai mis en œuvre les oreilles :
228,Le 360° en prise de terrain :
229,Le choix d'une voile est guidé par :
230,La chaleur se propage par :
231,Les parties de l'aile subissant le plus d'efforts en vols sont :
232,Le facteur de charge :
233,Quels éléments peuvent contribuer à la gestion du stress pour un pilote de parapente ?
234,"Vous évoluez en vol de pente, dans un espace aérien non contrôlé, sur une montagne dont l'altitude est de 1000 m. La base des nuages est à 1200 m. Le respect des conditions de vol à vue vous permet de monter jusqu'à une altitude de :"
235,"Durant un vol de pente à 50 m du sol, le sifflement du vent faiblit et votre aile s'enfonce en se trouvant proche de la vitesse de décrochage ; pour éviter le crash :"
236,Faire une descente rapide en 360° enchaînés et serrés :
237,La convection dans un profil de masse d'air plutôt stable :
238,La portance en vol rectiligne stabilisé est :
239,Lors d'un décrochage :
240,Un vent du 225° est un vent :
241,"Une aile arrive en face de vous, vous effectuez :"
242,"A surface égale, un pilote plus léger aura :"
243,"Sur une aile en vol rectiligne stabilisé, lorsque le pilote provoque un accroissement de l'incidence, transitoirement :"
244,On appelle anticyclone une zone :
245,Quels facteurs humains peuvent affecter la prise de décision d'un pilote de parapente ?
246,"En vol turbulent, votre voile se ferme sur l'ensemble du bord d'attaque (frontale) :"
247,"La portance et la traînée d'une aile sont fonction, entre autres, de :"
248,La portance d'une aile est due à :
249,En vol vent de travers :
250,"Autour des zones de haute pression, les vents tournent :"
251,Pour centrer un thermique :
252,Quelle attitude mentale est la plus dangereuse pour un parapentiste ?
253,"Par vent soutenu, préalablement à un gonflage face à l'aile :"
254,"Le ciel est progressivement envahi par des cirrus de plus en plus denses, puis par un voile de cirrostratus de 7/8 :"
255,Vous empruntez l'aile d'un pilote plus léger que vous :
256,"Autour d'un profil d'aile, l'écoulement de l'air peut être :"
257,Le directeur technique d'une École Française de Vol Libre (EFVL) ou d'un Club-École Français de Vol Libre (CEFVL) :
258,"Par rapport à l'air chaud, à pression et à volumes égaux l'air froid est :"
259,"Pour avancer de 4800 m dans le plan horizontal, vous avez perdu 600 m d'altitude ; votre finesse-sol est voisine de :"
260,L'effet pendulaire spécifique au parapente :
261,Vous faites les oreilles :
262,En fonction de quels éléments fixez-vous vos objectifs de vol ?
263,Quelles règles dois-je respecter pour survoler une manifestation entraînant un grand rassemblement de personnes ?
264,La finesse-sol :
265,"Lors de la réception d'une aile neuve, vous devez :"
266,"Vous envisagez d'utiliser une ascendance où se trouve déjà un autre appareil, vous :"
267,A 4 m/sol vous constatez que vous allez vous poser avec un vent de travers de 45° :
268,"Lorsque je vole aux régimes de vol de croisière, mon incidence :"
269,La situation météo la plus favorable à la formation d'orages isolés est :
270,Un nuage orographique :
271,"Lors d'un gonflage par vent fort, la voile commence à vous tirer très fort vers l'arrière, vous risquez d'être traîné au sol :"
272,Cochez les affirmations exactes
273,"Parmi ces différentes compétences, quelles sont celles à développer pour devenir un pilote de parapente ?"
274,Vous êtes dos au relief et votre voile se ferme à 40 % sur la gauche ce qui la met en virage à gauche :
275,Le gradient de vent de face à l'atterrissage :
276,Comment savoir si je peux franchir une limite d'espace aérien ?
277,Les ondes de ressaut se rencontrent en altitude :
278,30 km/h de vent de face au décollage ; vous êtes seul :
279,Vous vous posez en catastrophe dans un champ de blé non fauché :
280,Les nuages matérialisant les ondes de ressaut sont des :
281,Le vol de pente nécessite :
282,Lorsqu'un pilote exploite une bulle thermique pour gagner de l'altitude :
283,Comment le stress affecte-t-il la performance en parapente ?
284,Le brouillard de rayonnement se forme :
285,Les avions de chasse de la Défense peuvent-ils évoluer en espace G et E ?
286,"Dans l'hémisphère nord lorsque vous êtes face au vent, vous avez :"
287,Les zones favorables au déclenchement de la convection sont en général :
288,Je me ferai probablement plus plaisir avec une aile :
289,L'assemblée générale d'une association loi 1901 affiliée à la FFVL (votre club) :
290,"Une aile vole face au vent, elle avance par rapport au sol ; le vent est :"
291,"Pilote niveau Brevet, je vole 40 h/an, je décide de changer d'aile, je choisis :"
292,Une école non reconnue par la FFVL :
293,La vapeur d'eau :
294,"Pour amener une particule d'air à saturation en humidité, il faut :"
295,Le gradient de vent de face à l'atterrissage :
296,Une bonne approche :
297,Un thalweg est :
298,"En vol de pente, vous engagez les virages :"
299,Vous risquez de rencontrer de fortes turbulences dangereuses :
300,Les actions de l'accompagnateur fédéral se font auprès :
301,La déclaration d'accident est nécessaire si :
302,En vol une turbulence ferme brutalement mon aile ; je me sens tomber à droite dans ma sellette :
303,Un Club-École Français de Vol Libre (CEFVL) est :
304,"Vous êtes en prise de terrain en S (PTS) ; votre trajectoire s'enfonce sous le plan de descente prévu, vous devez :"
305,Les rotors et les lenticulaires semblent fixes par rapport au sol car :
306,"En faisant les oreilles, vous :"
307,"Par une belle journée d'été, la température maximale sera atteinte à (heure solaire en tenant compte des 2 heures d'avance sur nos montres) :"
308,"Au décollage, il y a 30 km/h de vent ; mon aile vole à une vitesse maximale de 35 km/h :"
309,On peut rencontrer des turbulences dangereuses pour le vol libre dans les phénomènes observés suivants :
310,"Vous venez d'acheter une nouvelle voile plus performante, dans quelles conditions aérologiques allez-vous la prendre en main ?"
311,Le vent météo :
312,Vous rentrez dans un thermique et engagez un 360°. Après 90° de virage le variomètre devient négatif :
313,Les anticyclones sont le siège :
314,"En vol, la diminution importante du vent relatif a pour conséquence :"
315,Quel type de plan de vol sont tenus de déposer les pratiquants de vol libre ?
316,"Vous volez vent arrière, votre vitesse/air de croisière est égale à la vitesse du vent météo ; le sol :"
317,"Lors d'un atterrissage en campagne, un pilote breveté, licencié, détruit le pare-brise d'une voiture, c'est :"
318,Un front froid :
319,"En région montagneuse, vous recherchez de préférence les ascendances thermiques :"
320,Les ondes de ressaut se développent lorsque le vent :
321,Vous gonflez symétriquement dos à l'aile avec un vent de travers droit :
322,"Pour être précis à l'atterrissage, la visualisation correcte de la pente en finale est indispensable. Cette pente :"
323,"Parmi ces nuages, certains annoncent l'arrivée d'un front chaud :"
324,"Dans un thermique au cours des 360°, le variomètre passe par un maximum puis retombe à des valeurs faiblement positives :"
325,Une couche de stratus de 40 m d'épaisseur est située sous le décollage :
326,Lors de ma souscription de licence pour une pratique hors compétition :
327,"En vol, bras hauts, vos freins sont tendus et le bord de fuite est un peu abaissé :"
328,"Un moniteur encadre un stage de formation en milieu aménagé (SIV, pilotage, acrobatie) dans le cadre d'une école fédérale :"
329,"En vol, un Planeur Ultra Léger (PUL) arrive sur votre droite avec une route convergente :"
330,J'accrois les risques :
331,Votre voile se replie brusquement côté relief :
332,Que faut-il savoir sur les valeurs d'altitude exprimées en FL (Flight Level) ?
333,"Après un accident, la déclaration doit être établie et envoyée à la FFVL :"
334,Vous affrontez un vent de face de 15 km/h ; pour rentrer au terrain :
335,Vous êtes en finale face au terrain d'atterrissage ; vous vous apercevez que vous êtes un peu long et haut ; vous risquez de dépasser le terrain :
336,"En finale, si la cible descend dans le champ de vision :"
337,A l'atterrissage une prise de vitesse est nécessaire en finale car :
338,Une aile homologuée CEN est obligatoire :
339,Pour rouvrir les oreilles :
340,"Au cas où le vent météo change d'orientation ou d'intensité pendant le vol, il convient :"
341,"Une aile de Vol Libre, c'est :"
342,Vous voulez rentrer dans une ascendance alors qu'une autre aile spirale 50 m en dessous :
343,"Loin du relief, vous suivez la même route et au même niveau qu'une autre aile moins rapide ; vous effectuez le dépassement par :"
344,"Vous êtes en vol de pente, le relief est à votre gauche. Une aile arrive en face à la même altitude :"
345,Priorités entre Planeurs Ultras Légers (PUL) :
346,Comment savoir si un exercice militaire est en cours ?
347,"Deux ailes se suivent tout près d'un relief situé à leur droite, la deuxième aile est plus rapide :"
348,Un pilote de vol libre peut-il être soumis à un contrôle d'alcoolémie ou de stupéfiants ?
349,"Au décollage, avec 20 km/h de face, vous pouvez gonfler votre voile :"
350,Dans quels types d'espaces militaires le pilote de l'aéronef militaire ne peut-il assurer l'anticollision ?
351,"A quoi correspondent les valeurs ASFC et AGL, AMSL ?"
352,"Dans un espace aérien non contrôlé et au-dessus de 900 m mer ou 300 m sol en montagne, vous devez avoir :"
353,Les déclarations d'accident doivent être envoyées :
354,"En espace de classe E, puis-je néanmoins croiser un trafic IFR ?"
355,"A niveau de vol égal, la priorité en vol revient :"
356,Priorités entre aéronefs ultralégers non motorisés :
357,Les règles de vol obligent chaque pilote :
358,Suis-je soumis aux mêmes règles si mon parapente ou delta est équipé d'un moteur ?
359,Comment peuvent être exprimées les limites des espaces contrôlés ?
360,La partie pratique du brevet de pilote est attribuée par :
361,"Dans un espace aérien non contrôlé et au-dessous de 900 m mer et 300 m sol en montagne, la visibilité minimale doit être de :"
362,L'élève qui réussit son brevet de pilote fédéral :
